매장명,작성일,리뷰내용,감정분석,고객_선택_태그
달빛에구운고등어 만성점,2026-03-29,양이 많아요,중립,태그 없음
달빛에구운고등어 만성점,2026-03-27,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 만성점,2026-02-01,재료가 신선해요,긍정,태그 없음
달빛에구운고등어 목포대양점,2026-04-05,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 목포대양점,2026-04-04,가성비가 좋아요,긍정,태그 없음
달빛에구운고등어 목포하당점,2026-04-06,재료가 신선해요,긍정,태그 없음
달빛에구운고등어 목포하당점,2026-04-05,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 어양점,2026-03-21,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 어양점,2026-03-10,매장이 넓어요,긍정,태그 없음
달빛에구운고등어 어양점,2026-03-09,재료가 신선해요,긍정,태그 없음
달빛에구운고등어 도마점,2026-04-03,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 도마점,2026-03-29,아이와 가기 좋아요,긍정,태그 없음
달빛에구운고등어 도마점,2026-03-22,뷰가 좋아요,긍정,태그 없음
달빛에구운고등어 도마점,2026-03-14,주차하기 편해요,중립,태그 없음
달빛에구운고등어 도마점,2026-02-28,특별한 메뉴가 있어요,중립,태그 없음
달빛에구운고등어 도마점,2026-02-13,재료가 신선해요,긍정,태그 없음
달빛에구운고등어 송천점,2026-03-23,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 송천점,2026-03-02,매장이 넓어요,긍정,태그 없음
달빛에구운고등어 평화점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 관저점,2026-04-05,주차하기 편해요,중립,태그 없음
달빛에구운고등어 관저점,2026-04-03,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 관저점,2026-03-01,특별한 메뉴가 있어요,중립,태그 없음
달빛에구운고등어 전북도청점,2026-04-05,음식이 맛있어요,긍정,태그 없음
달빛에 구운 고등어 전주아중점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 모현점,2026-04-03,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 모현점,2026-03-23,매장이 넓어요,긍정,태그 없음
달빛에구운고등어 첨단점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 첨단점,2026-03-09,매장이 넓어요,긍정,태그 없음
달빛에구운고등어 첨단점,2026-02-01,특별한 메뉴가 있어요,중립,태그 없음
달빛에구운고등어 군산미장점,2026-04-05,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 군산미장점,2026-04-05,양이 많아요,중립,태그 없음
달빛에구운고등어 상무점,2026-03-29,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 상무점,2026-03-07,주차하기 편해요,중립,태그 없음
달빛에구운고등어 상무점,2026-02-27,양이 많아요,중립,태그 없음
달빛에구운고등어 분평점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 분평점,2026-03-29,재료가 신선해요,긍정,태그 없음
달빛에구운고등어 김제점,2026-04-05,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 김제점,2026-03-23,인테리어가 멋져요,중립,태그 없음
달빛에구운고등어 평택송탄점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 진해점,2026-04-05,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 진해점,2026-03-23,양이 많아요,중립,태그 없음
달빛에구운고등어 대전월드컵점,2026-04-04,메뉴 구성이 알차요,중립,태그 없음
달빛에구운고등어 대전월드컵점,2026-03-31,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 대전월드컵점,2026-03-26,혼밥하기 좋아요,긍정,태그 없음
달빛에구운고등어 동탄예당마을점,2026-03-10,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 동탄예당마을점,2026-03-06,가성비가 좋아요,긍정,태그 없음
달빛에구운고등어 부안점,2026-04-05,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 대전관평점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 오산점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 오산점,2026-04-05,재료가 신선해요,긍정,태그 없음
달빛에구운고등어 중촌점,2026-03-31,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 수완장덕점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 수완장덕점,2026-04-05,양이 많아요,중립,태그 없음
달빛에구운고등어 수완장덕점,2026-04-05,재료가 신선해요,긍정,태그 없음
달빛에구운고등어 남원점,2026-04-04,양이 많아요,중립,태그 없음
달빛에구운고등어 남원점,2026-03-22,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 순천법원점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 순천법원점,2026-04-06,매장이 넓어요,긍정,태그 없음
달빛에구운고등어 논산점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 논산점,2026-04-02,특별한 메뉴가 있어요,중립,태그 없음
달빛에구운고등어 세종대평점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 세종대평점,2026-04-05,양이 많아요,중립,태그 없음
달빛에구운고등어 대구시지점,2026-03-28,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 부산송정점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 화성향남점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 화성향남점,2026-04-05,메뉴 구성이 알차요,중립,태그 없음
달빛에구운고등어 청주율량점,2026-04-06,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 청주율량점,2026-04-01,재료가 신선해요,긍정,태그 없음
달빛에구운고등어 대전효동점,2026-04-06,단체모임 하기 좋아요,긍정,태그 없음
달빛에구운고등어 대전효동점,2026-04-05,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 대전효동점,2026-04-05,메뉴 구성이 알차요,중립,태그 없음
달빛에구운고등어 대전효동점,2026-04-05,인테리어가 멋져요,중립,태그 없음
달빛에구운고등어 보령점,2026-04-05,재료가 신선해요,긍정,태그 없음
달빛에구운고등어 보령점,2026-04-05,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 보령점,2026-03-28,양이 많아요,중립,태그 없음
달빛에구운고등어 보령점,2026-03-27,특별한 메뉴가 있어요,중립,태그 없음
달빛에구운고등어 풍암점,2026-04-05,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 풍암점,2026-04-05,뷰가 좋아요,긍정,태그 없음
달빛에구운고등어 천안구성점,2026-04-02,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 천안구성점,2026-03-24,양이 많아요,중립,태그 없음
달빛에구운고등어 평택비전점,2026-04-04,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 평택비전점,2026-03-28,양이 많아요,중립,태그 없음
달빛에구운고등어 수원월드컵점,2026-04-04,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 광주진월점,2026-04-06,재료가 신선해요,긍정,태그 없음
달빛에구운고등어 광주진월점,2026-04-05,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 광주진월점,2026-04-05,가성비가 좋아요,긍정,태그 없음
달빛에구운고등어 용인죽전점,2026-04-03,음식이 맛있어요,긍정,태그 없음
달빛에구운고등어 용인죽전점,2026-03-25,매장이 넓어요,긍정,태그 없음
